id,song,artist,album,year,i,j,k,disruption
"2151","04 O canoeiro.mp3", "Anastácia","[1968] - Anastácia - 1968 - Anastácia (Forró em vinil)","1968",2,3,75,-0.012500
"8115","02. Voltei pra ficar.mp3", "Osvaldo Oliveira","[1979] - Osvaldo Oliveira - 1979 - Voltei pra ficar (Forró em vinil)","1979",1,9,628,-0.012539
"20307","06 - Trilha 6(1).mp3", "Chama chuva","[2002] - Chama chuva - 2002 - Forró manhoso (Forró em vinil)","2002",5,15,772,-0.012626
"8346","04 - Arrasta-pé goiano.mp3", "São João na fazenda Rancho Alegre","[1980] - 1980 - São João na fazenda Rancho Alegre","1980",3,7,305,-0.012698
"19155","04 - Desconhecido - Faixa 4.mp3", "Sivuca","[1999] - Sivuca - 1999 - Orquestra sinfonica da Paraíba & Sivuca (Forró em vinil)","1999",4,7,224,-0.012766
"12343","04 acorda povo.mp3", "Alcymar Monteiro","[1986] - 1986 - Alcymar Monteiro - Forroteria (Forró em vinil)","1986",1,8,528,-0.013035
"5176","05 - Comigo é assim.mp3", "Zé Paraíba","[1975] - 1975 - Zé Paraíba - Forró de latada (Forró em vinil)","1975",2,4,146,-0.013158
"17657","13 Raiz do Coração.mp3", "Flávio José","[1996] - Flávio José - 1996 - Filho do Dono (Forró em vinil)","1996",4,8,290,-0.013245
"5478","09 - O chorinho da morena.mp3", "Ju da Sanfona","[1975] - Ju da Sanfona - 1975 - O forró aqui é assim - vol. 1 (Forro em vinil)","1975",1,3,146,-0.013333
"7843","02 coco do cabeçote.mp3", "Genival Lacerda","[1979] - Genival Lacerda - 1979 - Genival Lacerda (forró em vinil)","1979",2,7,362,-0.013477
"3349","02 solte o bode.mp3", "Gerson filho","[1972] - 1972 - Gerson filho - Oito baixos brasileiro (Forró em vinil)","1972",1,2,71,-0.013514
"6488","11 A velha se afogando.mp3", "Azulão","[1977] - Azulão - 1977 - Tempero de caboclo (Forró em vinil)","1977",1,3,144,-0.013514
"18414","02 A mulher de Mané Amaro.mp3", "Cascabulho","[1998] - Cascabulho - 1998 - Fome Da Dor de Cabeça (Forró em vinil)","1998",3,4,66,-0.013699
"16962","09-Vamos dançar.mp3", "Damásio do Acordeon","[1995] - Damásio do Acordeon - 1995 - Forró em Floresta (Forró em vinil)","1995",4,9,341,-0.014124
"22676","07 repique do zabumba.mp3", "Dona Zaíra","[2008] - Dona Zaíra - 2008 - O Forró de Dona Zaíra (Forró em vinil)","2008",1,14,905,-0.014130
"9438","10 voz ativa.mp3", "Genival Lacerda","[1981] - Genival Lacerda - 1981 - Me dê o gravador (Forró em vinil)","1981",8,12,260,-0.014286
"15292","05 Vale do Piancó.mp3", "Afrânio Ramalho ","[1992] - Afrânio Ramalho  - 1992 - Inverno de amor (Forró em vinil)","1992",2,4,134,-0.014286
"11900","06. Deixe que leve.mp3", "Zé Paraíba","[1984] - Zé Paraíba - 1984 - Zé Paraíba e seus convidados (Forró em vinil)","1984",2,10,534,-0.014652
"13621","07 O rei da tatuagem.mp3", "Sandro Becker vol.8 (Forró em vinil)","[1988] - 1988 - Sandro Becker vol.8 (Forró em vinil)","1988",2,7,332,-0.014663
"20218","15 naquele São João - Pra que fogueira.mp3", "Adelmário Coelho","[2002] - Adelmário Coelho - 2002 - Visita ao Trio Nordestino 2 (Forró em vinil)","2002",1,6,334,-0.014663
"2146","07 Não bota, que Nerêde bebe.mp3", "Alventino Cavalcanti","[1968] - Alventino Cavalcanti - 1968 - E muita cantiga nordestina (Forró em vinil)","1968",11,14,179,-0.014706
"13246","09 Meu tipo de mulher.mp3", "João Gonçalves","[1987] - João Gonçalves - 1987 - João Gonçalves (forró em vinil)","1987",5,11,391,-0.014742
"13988","11 Bom dia.mp3", "Alcymar Monteiro","[1989] - 1989 - Alcymar Monteiro - Pirilampos (Forró em vinil)","1989",4,9,326,-0.014749
"8339","06 - Arrastapé doidinho.mp3", "São João na fazenda Rancho Alegre","[1980] - 1980 - São João na fazenda Rancho Alegre","1980",2,16,925,-0.014846
"7981","06 - Alvorada.mp3", "Manoel de Elias","[1979] - Manoel de Elias - 1979 - A Gafieira do Mané (Forró em vinil)","1979",2,7,326,-0.014925
"5088","11 - Terreiro de Jesus.mp3", "Zé Honório","[1974] - Zé Honório - 1974 - Balaio de gatos no forró (Forró em vinil)","1974",1,4,195,-0.015000
"10915","02 Caboclo nordestino.mp3", "Trio Nordestino","[1983] - 1983 - Trio Nordestino - Caboclo nordestino (Forró em vinil)","1983",1,7,390,-0.015075
"4029","06 Côco de 56.mp3", "Genival Lacerda","[1973] - Genival Lacerda - 1973 - Tomaram meu amor (Forró em vinil)","1973",13,14,39,-0.015152
"17133","10 São João da minha terra.mp3", "Joquinha Gonzaga","[1995] - Joquinha Gonzaga - 1995 - Raiz e tradição (Forró em vinil)","1995",1,3,128,-0.015152
"19380","11 O Amor Daqui de Casa.mp3", "Gilberto Gil","[2000] - Gilberto Gil - 2000 - Eu, tu eles (Forró em vinil)","2000",3,17,900,-0.015217
"15939","05 Meu coração penava.mp3", "Gaviões do nordeste","[1993] - Gaviões do nordeste - 1993 - Pintando o sete (Forró em vinil)","1993",8,10,113,-0.015267
"16206","10 Forró da ruedeira.mp3", "Severo Gomes","[1993] - Severo Gomes - 1993 - Tem que ter forró (Forró em vinil)","1993",1,8,449,-0.015284
